gate Voltage (V),drain Current (A)
-0.900498628616333,8.29141129088384e-08
-0.800465822219849,9.47535028217317e-08
-0.700394868850708,1.14184501853742e-07
-0.600361824035645,1.33996252316138e-07
-0.500297069549561,1.54273394059601e-07
-0.400262355804443,1.80741309918631e-07
-0.300217866897583,2.06208937925112e-07
-0.20011730492115,2.34177946367709e-07
-0.10007856041193,2.60523563611059e-07
9.48905926634325e-06,2.94307227477475e-07
0.100057981908321,3.26993585986202e-07
0.200097113847733,3.63241326795105e-07
0.300090312957764,4.01181353026914e-07
0.400142192840576,4.38789726331379e-07
0.500183820724487,4.78210949950153e-07
0.600220441818237,5.18414594807837e-07
0.700300693511963,5.60931425752642e-07
0.800342321395874,6.14211216998228e-07
0.90037989616394,6.53634288028115e-07
1.00041747093201,7.12360133547918e-07
1.10045194625854,7.63516538881959e-07
1.20048499107361,8.19542378849292e-07
1.30051970481873,8.92098057647672e-07
1.40058827400208,9.40486927447637e-07
1.50061631202698,9.63222987593326e-07
1.60064792633057,1.03298543763231e-06
1.70067286491394,1.11691349502507e-06
1.80070161819458,1.1870097296196e-06
1.9007363319397,1.26689189983153e-06
2.00076341629028,1.33716343952983e-06
2.10040330886841,1.39729024795088e-06
2.20067024230957,1.48904553043394e-06
2.30056524276733,1.55559894210455e-06
2.40080833435059,1.63793913543486e-06
2.50072479248047,1.72525994912576e-06
2.60062217712402,1.81948178124003e-06
2.70084381103516,1.90202115391003e-06
2.80077934265137,1.97912459043437e-06
2.90101528167725,2.07652556127869e-06
3.00090551376343,2.16231705962855e-06
3.10083627700806,2.24447489927115e-06
3.2010555267334,2.32782485909411e-06
3.300940990448,2.39951850744546e-06
3.40120792388916,2.49334220825403e-06
3.50115776062012,2.5685310447443e-06
3.60137224197388,2.66867277787242e-06
3.70128393173218,2.74873013950128e-06
3.80122900009155,2.82754535874119e-06
3.90144348144531,2.90049911200185e-06
4.00132894515991,2.9376767542999e-06
4.10156488418579,3.01482555187249e-06
4.20150756835938,3.0920612061891e-06
4.30143356323242,3.16412433676305e-06
4.40173864364624,3.24352618008561e-06
4.501633644104,3.15221655000641e-06
4.60185050964355,3.25475207318959e-06
4.70174074172974,3.34013566316571e-06
4.80201244354248,3.41218810717692e-06
4.90192651748657,3.48792059412517e-06
5.00179529190063,3.5409009342402e-06
