gate Voltage (V),drain Current (A)
-2.90194988250732,3.7768623784018e-09
-2.80205965042114,5.161573835010811e-09
-2.70177364349365,7.3550308066217e-09
-2.60186910629272,7.025712900343711e-09
-2.50191926956177,9.9677963660838e-09
-2.40168333053589,9.210038065532441e-09
-2.30180025100708,1.12385514228208e-08
-2.20162868499756,1.35714888216398e-08
-2.10162162780762,1.58090358581831e-08
-2.00089740753174,1.907170954496e-08
-1.90087985992432,2.20764047043076e-08
-1.80085921287537,2.80510903394315e-08
-1.70080375671387,3.94965162797689e-08
-1.60078454017639,4.21063539590705e-08
-1.50072908401489,5.66235058840903e-08
-1.4007031917572,7.54848841211242e-08
-1.30067753791809,9.49148528661681e-08
-1.20061302185059,1.13505599586006e-07
-1.10058617591858,1.37009138256872e-07
-1.0005259513855,1.66154976000144e-07
-0.900497674942017,1.96500892002405e-07
-0.800464868545532,2.25615266913337e-07
-0.700393199920654,2.59358643006635e-07
-0.600358009338379,2.97520273306873e-07
-0.500292539596558,3.35350279101476e-07
-0.400257349014282,3.70062707588659e-07
-0.300217628479004,4.08884403668708e-07
-0.200120404362679,4.42426568270093e-07
-0.100084446370602,4.8461350843354e-07
3.79085554413905e-06,5.34757873538183e-07
0.100053213536739,5.69363123759103e-07
0.200092315673828,6.16991997048899e-07
0.300086498260498,6.63324954075506e-07
0.40013861656189,7.1369180432157e-07
0.500178813934326,7.60920158882072e-07
0.600217819213867,8.06179741630331e-07
0.70029616355896,8.60313662087719e-07
0.800337076187134,9.16890883218002e-07
0.900374174118042,9.75855300566764e-07
1.00041341781616,9.57305360316241e-07
1.10044836997986,1.04326602468063e-06
1.20048046112061,1.11984729755932e-06
1.30051350593567,1.19988442293106e-06
1.40057921409607,1.27978682940011e-06
1.50060725212097,1.36386154281354e-06
1.60063815116882,1.44214391184505e-06
1.70066356658936,1.51783581259224e-06
1.80069279670715,1.60637375756778e-06
1.90072679519653,1.69591783105716e-06
2.00074744224548,1.77629351583164e-06
2.10033893585205,1.87620162250823e-06
2.200608253479,1.97813869817764e-06
2.30053663253784,2.07328548640362e-06
2.4007511138916,2.17141746361449e-06
2.50068426132202,2.253641923744e-06
2.60057926177979,2.34550225286512e-06
2.70078182220459,2.45102410190157e-06
2.80070066452026,2.55354643741157e-06
2.90093660354614,2.64634968516475e-06
3.00083875656128,2.75065531241125e-06
3.10080051422119,2.84851535070629e-06
3.20102453231812,2.95037966679956e-06
3.30092668533325,3.04834111375385e-06
3.40117216110229,3.16204409500642e-06
3.50111961364746,3.26622466673143e-06
3.60130548477173,3.36689572577598e-06
3.70122194290161,3.48406433658965e-06
3.80112409591675,3.59619843948167e-06
3.90134334564209,3.68690484719991e-06
4.00123596191406,3.79135235561989e-06
4.10146713256836,3.90599461752572e-06
4.20136451721191,3.9954516068974e-06
4.30121898651123,4.10643815484946e-06
4.40153121948242,4.22363746110932e-06
4.5014762878418,4.13071757066064e-06
4.601731300354,4.29001556767616e-06
4.70161914825439,4.42701821157243e-06
4.80190515518188,4.54701512353495e-06
4.90176677703857,4.65378252556548e-06
5.00167369842529,4.74548096462968e-06
